ticket_id,created_at,customer_id,department,device_type,os,browser,network_type,historical_tickets,sla_hours,resolution_time_hours,title,description,image_path,image_width,image_height,priority,status,assigned_team,has_attachment,sentiment_score,num_words,latitude,longitude,target_category,city,num_images,state
1,2025-01-01T00:17:00,5012,Operações,Desktop,Windows,Safari,WiFi,1,4,28,Falha crítica no teclado: não funciona com tela preta.,Falha crítica no teclado: não funciona com tela preta.,images/keyboard.png,500,375,Alta,Fechado,N2,1,-0.559,6,-24.977208,-53.035662,Hardware,Campinas,2.0,BA
2,2025-01-01T00:34:00,6574,Financeiro,Notebook,Windows,Chrome,5G,6,12,45,Falha no sistema de folha ao tentar gerar relatório.,Falha no sistema de folha ao tentar gerar relatório.,images/payroll.png,612,408,Crítica,Fechado,Aplicações,0,0.946,6,-32.941078,-50.197535,RH,Campinas,3.0,RJ
3,2025-01-01T00:51:00,2139,TI,Desktop,Linux,Chrome,5G,17,24,47,O Sistema de tesouraria exibe cheiro de queimado ao gerar re...,O Sistema de tesouraria exibe cheiro de queimado ao gerar relatório.,images/finance_report.png,738,414,Média,Em andamento,N2,1,0.404,6,-27.160472,-51.405727,Financeiro,Campinas,0.0,MG
4,2025-01-01T01:08:00,7216,Financeiro,Mobile,Android,Chrome,Cabo,2,12,52,O aplicativo Sistema ERP fecha inesperadamente quando export...,O aplicativo Sistema ERP fecha inesperadamente quando exportar dados.,images/sap_erp.png,612,344,Crítica,Aberto,Infra,0,0.311,3,-24.156954,-46.735766,Software,Belo Horizonte,3.0,RJ
5,2025-01-01T01:25:00,5040,Financeiro,Mobile,iOS,Edge,Cabo,8,48,64,O acesso à banco de dados falha com reinicia sozinho.,O acesso à banco de dados falha com reinicia sozinho.,images/server.png,500,333,Média,Aberto,N2,0,0.584,6,-27.299142,-49.290804,Rede,Belo Horizonte,3.0,PR
6,2025-01-01T01:42:00,1188,TI,Mobile,Android,Chrome,4G,27,8,59,Erro no Módulo de notas fiscais durante abrir documento.,Erro no Módulo de notas fiscais durante abrir documento.,images/default_finance.png,500,750,Alta,Fechado,N2,0,0.741,4,-24.625804,-48.074137,Financeiro,Belo Horizonte,2.0,MG
7,2025-01-01T01:59:00,3646,TI,Notebook,Windows,Chrome,4G,19,8,8,Falha no Sistema de Notas Fiscais: não funciona ao tentar ge...,Falha no Sistema de Notas Fiscais: não funciona ao tentar gerar relatório.,images/finance_report.png,738,414,Alta,Aberto,Aplicações,0,0.956,3,-32.400533,-48.394704,Software,Belo Horizonte,1.0,MG
8,2025-01-01T02:16:00,4470,Operações,Mobile,Android,Safari,5G,7,8,29,"Rede instável, superaquece ao acessar aplicação web.","Rede instável, superaquece ao acessar aplicação web.",images/network.png,500,342,Crítica,Aberto,N2,0,-0.986,6,-31.304535,-44.136342,Rede,Santos,0.0,PR
9,2025-01-01T02:33:00,5562,RH,Desktop,iOS,Firefox,5G,26,8,13,O fonte não responde e exibe mensagem de erro.,O fonte não responde e exibe mensagem de erro.,images/power_supply.png,500,375,Média,Em andamento,Aplicações,1,-0.066,6,-26.460326,-43.356764,Hardware,Campinas,0.0,RS
10,2025-01-01T02:50:00,6559,TI,Desktop,iOS,Firefox,5G,11,12,60,O usuário relatou que o fonte falha durante o acesso à rede.,O usuário relatou que o fonte falha durante o acesso à rede.,images/power_supply.png,500,375,Crítica,Em andamento,N1,0,0.304,6,-23.237941,-43.928967,Hardware,Campinas,0.0,RJ
11,2025-01-01T03:07:00,8956,RH,Desktop,Linux,Safari,WiFi,24,12,59,O sistema Email exibe desliga ao executar consulta.,O sistema Email exibe desliga ao executar consulta.,images/email.png,500,333,Crítica,Fechado,Aplicações,0,-0.62,3,-23.241068,-47.366115,Software,Campinas,1.0,PR
12,2025-01-01T03:24:00,1936,TI,Mobile,Linux,Chrome,WiFi,11,4,9,Erro no sistema de RH: superaquece ao enviar email.,Erro no sistema de RH: superaquece ao enviar email.,images/email.png,500,333,Alta,Aberto,N2,0,0.239,7,-26.634633,-47.504253,RH,Belo Horizonte,3.0,PR
13,2025-01-01T03:41:00,6147,Operações,Desktop,Android,Safari,4G,4,4,59,Falha de rede: perda de dados ao tentar exportar dados.,Falha de rede: perda de dados ao tentar exportar dados.,images/network.png,500,342,Média,Fechado,N2,1,-0.735,6,-24.198581,-44.395225,Rede,Santos,2.0,PR
14,2025-01-01T03:58:00,8179,Financeiro,Mobile,Windows,Edge,WiFi,8,12,15,Falha de rede: sem resposta ao tentar enviar email.,Falha de rede: sem resposta ao tentar enviar email.,images/email.png,500,333,Média,Em andamento,Infra,0,0.435,6,-26.306281,-44.656163,Rede,Belo Horizonte,1.0,BA
15,2025-01-01T04:15:00,2512,RH,Desktop,Android,Firefox,4G,10,24,71,Falha de rede: sem resposta ao tentar exportar dados.,Falha de rede: sem resposta ao tentar exportar dados.,images/network.png,500,342,Baixa,Aberto,N1,0,0.091,4,-27.450646,-51.633872,Rede,Santos,2.0,SP
